id,city_id,location_id,camera_id,co,no2,so2,o3,pm25,pm10,temp,hum,time,ver,lat,lon,created
19,2,9,450,12.8,6,0,0,84,96,17.64,26.63,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.67,23.92,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.76,21.72,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.5,4.84,0,0,56,61,18.46,22.76,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.6,1.02,0,0.92,72,85,17.62,23.85,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.69,0.81,0,0.73,42,44,18.78,20.36,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.37,37,40,17.3,22.87,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.65,24.78,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6,0,0.39,84,96,17.64,26.7,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.67,23.88,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.76,21.7,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.63,19.82,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
14,2,337,1724,10.6,4.84,0,0.99,56,61,18.44,22.69,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
16,2,317,3022,12.39,5.53,0,0.73,159,170,19.28,22.24,12/10/22 17:59,-1,43.246817,76.877159,12/10/22 11:59
18,2,741,4553,8.5,1.02,0,0.92,72,85,17.62,23.82,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.69,0.81,0,0.73,40,46,18.78,20.36,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.37,37,40,17.31,22.88,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.67,24.85,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6,0,0.39,84,96,17.64,26.8,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0,64,72,18.66,23.86,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.76,21.68,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.62,19.73,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
14,2,337,1724,10.6,4.84,0,0.99,41,49,18.42,22.7,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.5,1.02,0,0.92,72,85,17.62,23.81,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.69,0.81,0,0.73,40,46,18.78,20.35,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.32,37,40,17.3,22.88,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.62,19.61,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.68,24.89,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.01,0,0,84,96,17.64,26.94,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.66,23.82,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.56,47,54,17.75,21.68,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.69,4.84,0,0,41,49,18.41,22.71,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0.92,72,85,17.64,23.78,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.69,0.82,0,0.73,40,46,18.77,20.34,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
